Parameters,No Data Preprocessing with c = 3 to 5,Using Normalization with c = 3 to 5,Using Transformation with c = 3 to 5,Using PCA with c = 3 to 5,Using T+N with c = 3 to 5,Using T+N+PCA using c = 3 to 5
Silhouette,"[0.5711, 0.562, 0.5082]","[0.2849, 0.2599, 0.2291]","[0.3995, 0.3311, 0.2636]","[0.5711, 0.5606, 0.5082]","[0.3012, 0.271, 0.26]","[0.3012, 0.2841, 0.2328]"
Calinski-Harabasz,"[561.8157, 708.0867, 745.1974]","[70.94, 56.196, 47.31]","[127.5525, 104.2042, 92.3124]","[561.8157, 707.3763, 745.1974]","[73.1113, 57.3435, 48.1361]","[73.1113, 56.8886, 48.1254]"
Davies-Bouldin,"[0.5342, 0.5443, 0.5744]","[1.3892, 1.8009, 1.7353]","[0.9493, 1.1196, 1.269]","[0.5342, 0.5445, 0.5744]","[1.361, 1.7646, 1.7882]","[1.361, 1.7306, 1.7517]"
